"miRNA","BC.M.002","BC.M.003","BC.M.014","BC.M.015","BC.M.017","BC.M.019","BC.M.022","BC.M.023","BC.M.065","BC.M.066","BC.M.068","BC.M.069","BC.M.083","BC.M.085","BC.M.086","BC.M.088","BC.M.089","BC.M.091","BC.M.098","BC.M.106","BC.M.112","BC.M.119","BC.M.122","BC.M.139","BC.M.144","BC.M.146","BC.M.148","BC.M.150","BC.M.163","BC.M.201","BC.M.209","BC.M.220","BC.M.223","BC.M.232","BC.M.234","BC.M.263","BC.M.264","BC.M.269","BC.M.275","BC.M.277","BC.M.300","BC.M.308","BC.M.309","BC.M.341","BC.M.355","BC.M.357","BC.M.359","BC.M.363","BC.M.378","BC.M.381","BC.M.388","BC.M.406","BC.M.430","BC.M.451","BC.M.457","BC.M.470","BC.M.488","BC.M.493","BC.M.512","BC.M.570","BC.M.632","BC.M.722","BC.M.018","BC.M.020","BC.M.024","BC.M.031","BC.M.034","BC.M.042","BC.M.044","BC.M.053","BC.M.057","BC.M.064","BC.M.067","BC.M.071","BC.M.075","BC.M.079","BC.M.080","BC.M.101","BC.M.185","BC.M.218","BC.M.221","BC.M.222","BC.M.246","BC.M.247","BC.M.267","BC.M.283","BC.M.298","BC.M.318","BC.M.321","BC.M.338","BC.M.373","BC.M.371","BC.M.476","BC.M.551","BC.M.579","BC.M.627","BC.M.630","BC.M.709"
"hsa-let-7a-5p",13.265629,15.63835,13.895478,14.093235,13.073778,13.366695,13.358495,14.837677,14.890324,14.411314,15.349627,14.749097,13.627111,14.525513,14.122107,12.311868,14.075019,12.832235,14.463252,16.267326,13.844745,14.314878,14.734238,14.304225,13.848163,12.858057,13.428612,14.752577,14.72074,13.395314,13.426893,13.834911,13.230627,13.337459,15.4937105,14.787445,14.903299,13.053219,14.824221,13.9598,13.995841,14.176543,15.240394,14.193432,12.306109,13.646214,14.512963,15.388867,15.084081,15.013963,14.437785,14.146022,14.6725235,14.549937,13.746073,13.807794,13.633334,14.337561,14.103853,13.602948,14.494436,14.419025,14.0189705,14.113521,14.281636,14.887763,14.711286,14.443497,13.890185,13.034378,13.494363,13.419194,13.469205,12.8974905,13.802531,14.281355,13.849891,14.890686,13.461338,11.886498,13.594134,14.102606,13.627357,13.594975,13.249879,13.744256,13.80592,14.016748,13.269846,15.037274,14.680223,13.608661,13.4683275,14.042666,12.3991,12.329885,14.201265,13.882678
"hsa-let-7a-3p",2.6550238,3.4580607,3.7735925,3.8496878,1.6252087,4.115519,2.5051944,3.720646,4.1812534,3.0370908,3.8968494,4.5371776,2.5181077,3.1785617,3.4538815,2.871276,2.8543825,1.0044447,2.732437,4.8311734,3.5516343,2.6026986,3.4375947,2.5213819,3.0894039,4.030926,3.3915567,3.5367596,3.3821514,4.14541,2.0002906,2.4910789,2.9485893,3.1071901,3.7851655,4.4302025,3.7805533,4.2511997,4.120518,2.1878912,2.1452427,2.49237,3.673596,2.4897518,4.854513,1.5983782,3.3225183,3.9942706,3.36173,3.2203867,2.870968,2.33487,4.3613777,3.7275116,2.4856682,2.4309657,4.481625,3.265983,2.68508,2.8501246,3.9341905,3.1306057,2.3244207,2.735574,2.7002594,4.1079736,2.9965425,3.5648613,2.8986952,1.9743363,1.5229162,2.5298495,3.1717546,2.812993,2.2214768,3.2684917,2.26999,2.9920795,3.4558587,2.0690691,2.3031898,3.056087,1.9174361,2.870859,2.7587073,2.4572716,2.981605,2.4949832,2.3847911,3.3141224,3.7285247,2.170245,3.260347,2.5227647,1.5097374,2.7023692,2.0595272,3.2528222
"hsa-let-7b-5p",12.896871,15.462644,14.169578,14.373066,12.913365,13.683269,12.724522,14.605084,14.666426,13.996952,15.103256,15.613591,12.994061,14.016087,13.867715,12.486145,13.514732,12.068947,13.846556,15.924155,13.9492655,13.599348,14.85438,13.622836,13.319576,12.598629,12.9319315,14.452553,14.365609,13.325109,12.7103405,13.186024,13.648672,12.779197,15.089432,15.08593,14.655713,13.787467,14.946142,13.604219,13.649427,14.079874,14.745557,13.952241,12.136752,13.834267,14.302329,15.268851,14.791861,14.705744,13.902776,12.697293,14.628568,14.22952,12.893154,12.999451,14.21237,13.889862,13.633545,13.692766,14.697209,13.938482,13.37293,13.752605,13.810398,14.401064,14.198786,13.66711,13.166045,11.669429,12.628692,13.165227,12.8465,12.587139,13.43481,13.583253,13.181309,14.631536,12.639691,11.588931,13.183143,13.685176,12.574825,12.904467,12.894121,13.158211,13.023544,13.159083,11.831438,15.007165,14.460099,12.668333,12.810452,13.535684,12.026893,12.109756,13.065016,13.241329
"hsa-let-7b-3p",1.8052611,3.5624747,3.4416614,3.514808,2.6976953,2.6618497,2.427925,2.392764,3.559178,1.5151504,1.5376921,3.5260623,2.1032996,2.1084583,2.028992,3.4280374,2.5994806,2.5583549,2.3990061,3.154655,2.8408084,1.5858879,3.2555792,2.4006367,2.0137262,3.8973453,3.242717,1.8711807,2.4508002,3.4751925,2.136206,2.3850226,4.458895,3.106789,3.2872732,3.1069174,3.2420735,2.1742275,3.7584507,1.9721619,2.439761,2.1569695,2.528148,2.656932,6.0438895,2.3667827,2.0203357,2.1081414,1.4256803,1.7266779,1.8193431,2.9154232,4.284855,2.7432673,2.8134303,1.9398898,4.202487,1.217799,2.28712,2.6162574,2.7418053,3.783175,1.9783697,3.5092947,3.0240157,1.7836059,2.0198581,2.5867324,1.9817083,1.4854239,1.9690098,2.8182514,1.9567789,2.2142587,3.0700302,2.489153,2.1023343,2.1750743,3.2781262,1.3980944,1.6724174,1.5650628,2.8276901,3.2056575,2.048656,2.402151,1.9152906,2.65739,1.8398446,2.8968036,1.6779898,2.246721,1.9445119,2.5069613,2.5058808,5.1930146,2.5846076,4.927723
"hsa-let-7c-5p",11.920269,13.777391,12.585502,12.696483,11.707704,11.950275,11.400958,13.155167,13.16178,12.711777,13.549171,14.041133,12.013522,12.223122,12.465858,11.0238905,12.327432,10.67915,12.429014,14.220797,12.520177,12.579972,13.238384,11.969691,11.747136,11.101606,11.3171015,12.725395,12.982725,11.975343,11.25368,11.636192,12.110674,11.264092,13.580533,13.289737,13.015805,12.201523,13.446361,12.196553,12.347281,12.389448,13.162562,12.700647,10.629292,12.006931,12.894032,13.72752,13.279873,13.339547,12.781104,11.619131,13.135713,13.0595875,11.867099,11.755009,12.341069,12.706265,12.563521,12.27505,12.998528,12.165498,11.932847,12.570176,12.642429,13.040995,12.85071,12.119404,12.203579,10.747463,11.004056,11.972067,11.57006,11.167357,12.260245,12.416238,12.430394,13.160097,11.332495,10.320286,11.729881,12.440318,10.942393,11.596405,11.022257,11.235395,11.723753,11.764684,10.558371,13.380685,13.21075,12.057242,11.669329,12.470372,10.785103,11.091544,11.852709,12.282621
"hsa-let-7d-5p",9.739521,11.480442,10.43278,10.41068,9.861024,9.943051,10.180822,10.831781,10.797269,10.828577,11.120427,10.503943,10.225714,10.962392,10.799574,9.378816,10.627937,9.702055,11.041553,11.935589,10.192657,10.923814,10.648679,11.033764,11.364634,9.485121,10.28782,10.951664,11.009108,9.737505,9.874457,10.616959,9.425051,10.132474,11.147325,10.906923,10.80562,9.654163,10.907649,10.515758,10.345316,10.211837,11.917047,10.494071,8.270696,10.488526,10.521908,11.241291,10.829453,11.340312,10.978498,11.572433,10.7908945,10.652608,10.598908,10.79577,9.8982115,10.70922,10.548004,9.841817,10.487965,10.960574,11.119951,10.91296,11.077254,10.9693165,10.817448,11.637696,10.376925,9.700502,10.3109045,9.689632,10.207497,10.092131,10.525035,11.041316,10.640381,11.024434,10.7221575,8.659545,10.341021,10.730286,11.319408,10.499116,10.457995,11.004973,10.804888,10.763051,11.661103,10.8612,10.761057,10.431794,9.622027,10.443475,9.4247465,8.849168,11.849094,10.503067
"hsa-let-7d-3p",1.9792484,3.6801493,3.5182588,2.874186,2.7401948,2.6891222,2.5256414,2.6352887,2.1169484,1.5738202,2.1717098,2.7114284,2.075203,3.4117792,2.4469848,1.9631995,2.1618478,2.0923355,3.2373528,3.0030062,2.6920712,2.644193,2.8530998,3.3584511,3.2095864,2.9787023,2.7156746,2.7753742,3.1038837,3.8812892,2.0341978,2.5853846,2.0562475,3.6309786,2.8681037,3.1874712,3.01556,2.4359019,2.8572748,2.0303345,2.6963642,2.5801454,3.5621727,2.8281612,6.3463626,2.4534302,2.8134367,2.804545,2.6853414,2.902468,2.4806497,3.4152236,4.672815,2.8112247,2.928416,3.2191021,3.9413059,2.3512466,2.2711878,3.4002676,2.9321768,3.5045483,2.7655418,3.712186,3.828668,1.8748025,2.8272088,3.6251264,2.27592,0.81410515,2.4935899,1.92083,1.9046535,2.4143686,2.7515423,2.623501,2.8921504,2.8204079,2.2250376,0.47453678,1.6296653,2.0094767,3.3111715,3.337671,2.2341595,2.6826355,3.207087,2.327166,3.9647226,3.0171704,2.7450948,2.4618442,2.4524965,3.001239,2.2491677,4.9035373,3.4816844,4.6336923
"hsa-let-7e-5p",9.635339,11.607043,10.64431,10.324779,10.83062,10.193782,10.460511,11.086096,10.664123,11.078238,11.036776,10.580114,10.454818,11.390238,10.661221,9.618029,10.506087,9.065071,11.523628,11.068375,10.587748,10.71713,10.712376,11.585403,11.240917,10.051774,10.732047,11.137854,10.7937565,10.0843935,10.0807295,10.915632,10.445467,9.790429,10.840024,11.223014,10.832282,9.504289,10.726502,10.131811,10.701813,10.62547,11.851871,10.38419,9.012143,10.762567,10.46312,11.315049,11.178091,11.40335,11.111151,12.457635,10.647497,10.79184,10.417392,11.202077,10.135006,10.882377,10.36059,10.23281,10.937209,10.463168,10.906689,11.058326,11.145198,10.733293,10.888818,10.982531,10.5223675,8.2134695,9.564723,9.565225,10.156645,9.412734,10.325352,10.932416,10.47309,10.983641,9.576644,9.39898,9.351555,10.304516,10.15326,10.312422,9.571159,10.312372,10.293502,11.478835,9.801551,11.186304,10.789381,10.590209,10.45063,10.331711,9.176225,8.169599,10.0571575,9.765032
"hsa-let-7e-3p",1.7835323,2.1917558,2.5977516,2.020171,2.5722883,1.2664257,1.8762462,2.7336507,2.0263674,2.57217,2.497189,2.2724059,2.3299897,2.594241,3.1123178,1.4236369,1.6686572,1.2237434,2.4953585,1.9871032,2.9864776,2.153673,1.6639556,2.7374945,2.511982,2.2536228,1.7831316,2.648019,1.9596211,3.061721,0.9514663,2.2648444,1.6329923,2.7242599,1.2368574,3.5522304,2.264419,2.6758814,2.5556214,1.0395868,2.4938116,1.670868,2.8741293,1.8936034,3.93025,1.0950737,2.7706509,3.0974312,2.993524,3.1641884,2.7231376,3.1353972,3.5243714,3.0137658,2.374968,3.1659274,2.5331323,2.5652542,1.9165989,2.1961403,2.3122005,2.1997497,1.4368371,2.6063552,2.983472,1.9248466,2.453718,2.9827487,2.2438395,-0.13363698,1.1921139,1.8454229,1.5355325,1.1256514,1.5926083,1.8832425,2.4543355,2.4294078,1.4714414,2.1502872,-0.045128345,1.7883745,1.3194771,2.690781,1.3063515,1.4343165,1.96487,1.7449889,0.8171286,2.5736308,2.882017,2.9971352,2.608101,2.1530943,0.22118057,0.6276218,0.7050059,2.329472
"hsa-let-7f-5p",12.887161,14.983523,13.397077,13.522891,12.639455,12.889428,13.089426,14.189248,14.418355,14.013362,14.740459,13.743662,13.412528,14.119099,13.814849,11.946619,13.815572,12.665341,14.167697,15.554374,13.39155,14.076912,14.182251,14.234604,13.793069,12.34604,12.995337,14.303091,14.17424,12.751187,13.060081,13.823072,12.637258,12.900268,14.762665,14.077692,14.458929,12.470178,14.2588,13.638876,13.686109,13.557656,15.012381,13.71927,11.738891,13.163142,13.995876,14.644251,14.49595,14.612507,14.071494,14.519673,14.139815,14.010145,13.5614605,13.7601595,12.986971,13.957402,13.770138,13.107548,13.96336,14.114269,13.812449,13.590066,13.936449,14.2666445,14.213593,14.139788,13.392463,12.643416,13.50618,12.804501,13.021589,12.754057,13.584803,14.065502,13.437009,14.316439,13.24948,11.567119,13.221764,13.774001,13.59978,13.282658,12.948982,13.677118,13.545487,13.9186125,13.889759,14.379057,14.11661,13.419418,12.7785,13.620182,12.311519,11.929335,14.232361,13.642947
